Date,Anomaly,Year,Predicted_linear,Predicted_poly
1925-12-31,-0.20333333333333334,1925,-0.3045277615996902,-0.13164856348521425
1926-12-31,-0.07166666666666667,1926,-0.2930751601630739,-0.12497302831252455
1927-12-31,-0.16749999999999998,1927,-0.28162255872646114,-0.11854012074400089
1928-12-31,-0.1575,1928,-0.2701699572898484,-0.11233830560740898
1929-12-31,-0.31583333333333335,1929,-0.2587173558532321,-0.10635604772323859
1930-12-31,-0.11166666666666668,1930,-0.24726475441661933,-0.10058181191925541
1931-12-31,-0.049999999999999996,1931,-0.23581215298000302,-0.0950040630013973
1932-12-31,-0.12333333333333334,1932,-0.22435955154339027,-0.08961126580470591
1933-12-31,-0.24,1933,-0.21290695010677396,-0.08439188512784312
1934-12-31,-0.1025,1934,-0.2014543486701612,-0.07933438580585062
1935-12-31,-0.1525,1935,-0.19000174723354846,-0.07442723265194218
1936-12-31,-0.11166666666666668,1936,-0.17854914579693215,-0.06965889048660756
1937-12-31,-0.008333333333333331,1937,-0.1670965443603194,-0.06501782413761248
1938-12-31,0.005833333333333336,1938,-0.1556439429237031,-0.06049249841089477
1939-12-31,0.018333333333333333,1939,-0.14419134148709034,-0.056071378119668225
1940-12-31,0.15,1940,-0.13273874005047404,-0.051742928106250474
1941-12-31,0.225,1941,-0.12128613861386128,-0.0474956131693034
1942-12-31,0.09250000000000001,1942,-0.10983353717724853,-0.04331789815114462
1943-12-31,0.075,1943,-0.09838093574063222,-0.03919824784316006
1944-12-31,0.24166666666666667,1944,-0.08692833430401947,-0.03512512708766735
1945-12-31,0.15416666666666667,1945,-0.07547573286740317,-0.03108700068332837
1946-12-31,-0.03666666666666667,1946,-0.06402313143079041,-0.02707233347246074
1947-12-31,-0.0041666666666666675,1947,-0.05257052999417766,-0.023069590261002304
1948-12-31,-0.065,1948,-0.041117928557561356,-0.019067235862166854
1949-12-31,-0.06083333333333333,1949,-0.029665327120948604,-0.015053735110996058
1950-12-31,-0.12666666666666668,1950,-0.018212725684332298,-0.011017552820703713
1951-12-31,-0.027499999999999997,1951,-0.0067601242477195456,-0.006947153804503614
1952-12-31,0.04583333333333334,1952,0.00469247718889676,-0.0028310028901614714
1953-12-31,0.1025,1953,0.016145078625509512,0.001342435116384877
1954-12-31,-0.09333333333333334,1954,0.027597680062122265,0.005584695380093763
1955-12-31,-0.12333333333333334,1955,0.03905028149873857,0.00990731308775139
1956-12-31,-0.16166666666666665,1956,0.05050288293535132,0.014321823426143965
1957-12-31,0.0625,1957,0.06195548437196763,0.018839761567505775
1958-12-31,0.09583333333333333,1958,0.07340808580858038,0.023472662691347068
1959-12-31,0.08,1959,0.08486068724519669,0.02823206198445405
1960-12-31,0.006666666666666668,1960,0.09631328868180944,0.033129494626336964
1961-12-31,0.07833333333333334,1961,0.10776589011842219,0.0381764957892301
1962-12-31,0.055,1962,0.1192184915550385,0.043384600674471585
1963-12-31,0.06833333333333334,1963,0.13067109299165125,0.048765344439743785
1964-12-31,-0.16333333333333333,1964,0.14212369442826756,0.054330262279108865
1965-12-31,-0.075,1965,0.1535762958648803,0.060090889364801114
1966-12-31,-0.03,1966,0.16502889730149306,0.06605876088360674
1967-12-31,0.008333333333333333,1967,0.17648149873810937,0.0722454120295879
1968-12-31,-0.055,1968,0.18793410017472212,0.07866237795315101
1969-12-31,0.10083333333333333,1969,0.19938670161133842,0.08532119384835823
1970-12-31,0.05666666666666667,1970,0.21083930304795118,0.09223339490199578
1971-12-31,-0.056666666666666664,1971,0.22229190448456748,0.09941051630084985
1972-12-31,0.06333333333333334,1972,0.23374450592118023,0.10686409320260282
1973-12-31,0.19666666666666666,1973,0.245197107357793,0.1146056608085928
1974-12-31,-0.04833333333333334,1974,0.2566497087944093,0.12264675428377814
1975-12-31,0.010833333333333334,1975,0.26810231023102205,0.13099890881494503
1976-12-31,-0.051666666666666666,1976,0.27955491166763835,0.1396736596034316
1977-12-31,0.2041666666666667,1977,0.2910075131042511,0.14868254179964424
1978-12-31,0.10666666666666667,1978,0.3024601145408674,0.1580370905903692
1979-12-31,0.20083333333333334,1979,0.31391271597748016,0.16774884116239264
1980-12-31,0.31,1980,0.3253653174140929,0.1778293287025008
1981-12-31,0.35250000000000004,1981,0.3368179188507092,0.18829008838292793
1982-12-31,0.17416666666666666,1982,0.34827052028732197,0.19914265539046028
1983-12-31,0.34833333333333333,1983,0.3597231217239383,0.21039856489005615
1984-12-31,0.1925,1984,0.37117572316055103,0.22206935208305367
1985-12-31,0.1575,1985,0.3826283245971638,0.23416655214168713
1986-12-31,0.22666666666666668,1986,0.3940809260337801,0.24670170023819082
1987-12-31,0.3433333333333333,1987,0.40553352747039284,0.2596863315666269
1988-12-31,0.4025,1988,0.41698612890700915,0.27313198129922966
1989-12-31,0.2833333333333333,1989,0.4284387303436219,0.28705018461550935
1990-12-31,0.45166666666666666,1990,0.4398913317802382,0.3014524767095281
1991-12-31,0.4175,1991,0.45134393321685096,0.3163503927462443
1992-12-31,0.24,1992,0.4627965346534637,0.3317554679197201
1993-12-31,0.26916666666666667,1993,0.47424913609008,0.3476792373949138
1994-12-31,0.3275,1994,0.48570173752669277,0.3641332363586116
1995-12-31,0.4808333333333334,1995,0.4971543389633091,0.38112899999759975
1996-12-31,0.35000000000000003,1996,0.5086069403999218,0.39867806349138846
1997-12-31,0.4875,1997,0.5200595418365381,0.416791962019488
1998-12-31,0.6341666666666667,1998,0.5315121432731509,0.4354822307541326
1999-12-31,0.41,1999,0.5429647447097636,0.4547604048966605
2000-12-31,0.41250000000000003,2000,0.5544173461463799,0.47463801960475394
2001-12-31,0.5483333333333333,2001,0.5658699475829927,0.49512661005792324
2002-12-31,0.6208333333333333,2002,0.577322549019609,0.5162377114647825
2003-12-31,0.6291666666666667,2003,0.5887751504562218,0.537982858975738
2004-12-31,0.5599999999999999,2004,0.6002277518928345,0.560373587799404
2005-12-31,0.6958333333333333,2005,0.6116803533294508,0.5834214330861869
2006-12-31,0.655,2006,0.6231329547660636,0.6071379300374247
2007-12-31,0.645,2007,0.6345855562026799,0.6315346138253517
2008-12-31,0.5458333333333333,2008,0.6460381576392926,0.6566230196440301
2009-12-31,0.6675,2009,0.6574907590759089,0.6824146826584183
2010-12-31,0.7341666666666667,2010,0.6689433605125217,0.7089211380553024
2011-12-31,0.615,2011,0.6803959619491344,0.7361539210141927
2012-12-31,0.655,2012,0.6918485633857507,0.7641245667145995
2013-12-31,0.6791666666666667,2013,0.7033011648223635,0.7928446103433089
2014-12-31,0.755,2014,0.7147537662589798,0.8223255870798312
2015-12-31,0.9166666666666666,2015,0.7262063676955925,0.8525790320891247
2016-12-31,1.03,2016,0.7376589691322089,0.8836164805652515
2017-12-31,0.9391666666666666,2017,0.7491115705688216,0.9154494676877221
2018-12-31,0.8741666666666666,2018,0.7605641720054344,0.9480895286578743
2019-12-31,0.9866666666666667,2019,0.7720167734420507,0.9815481986188388
2020-12-31,1.02,2020,0.7834693748786634,1.0158370127646776
2021-12-31,0.8666666666666667,2021,0.7949219763152797,1.050967506289453
2022-12-31,0.8991666666666668,2022,0.8063745777518925,1.0869512143581233
2023-12-31,1.1883333333333332,2023,0.8178271791885052,1.1237996721647505
2024-12-31,1.2866666666666666,2024,0.8292797806251215,1.1615244148742931
2025-12-31,1.2825,2025,0.8407323820617343,1.2001369776808133
